Ahtanum,6
Amarillo,9.5
Apollo,19.5
Aquila,6.7
Australian Ella,15
Australian Galaxy,13.5
Australian Helga,6
Australian Pride Of Ringwood,9.5
Australian Summer,6
Australian Super Pride,14
Australian Sylva,6
Australian Topaz,15
Australian Vic Secret,15.5
Belma,12.1
Bitter Gold,17
Bravo,15.5
Brewer's Gold,9
Bullion,9
Calypso,11
Cascade,6
Cashmere,8.5
Centennial,10.5
Chelan,13.3
Chinook,13
Citra,12
Cluster,7
Columbia,9
Columbus,15
Comet,10
Crystal,4.5
Czech Premiant,9
Czech Saaz,3.5
Czech Sladek,7
El Dorado,15
Equinox,15
Eroica,11
Falconer’s Flight,11
French Aramis,8
French Strisselpalt,2
French Triskel,2.5
Fuggle,4.7
Galena,13
German Brewer's Gold,7
German Emerald,5
German Hallertau Blanc,10.5
German Hallertau Mittelfrüh,4.3
German Hallertauer Gold,6.2
German Herkules,14.5
German Hersbruker,3.5
German Hull Melon,7.2
German Magnum,13.5
German Mandarina Bavaria,8.5
German Merkur,13.5
German Northern Brewer,8.5
German Opal,6.5
German Perle,8
German Polaris,20.5
German Saphir,3.2
German Spalt Select,5
German Spalt,4
German Taurus,14.5
German Tettnanger,4.5
German Tradition,6
Glacier,5.5
Golding,5
Hallertauer,4.5
Horizon,12
Liberty,4
Magnum,12
Millennium,15.5
Mosaic,12.5
Mt. Hood,6
Mt. Rainier,6.5
New Zealand Cascade,7
New Zealand Dr. Rudi,11
New Zealand Green Bullet,12.5
New Zealand Kohatu,3
New Zealand Motueka,7.5
New Zealand Nelson Sauvin,12.5
New Zealand Pacific Gem,14.2
New Zealand Pacific Jade,13
New Zealand Pacifica,5.5
New Zealand Rakau,10.5
New Zealand Riwaka,5.5
New Zealand Southern Cross,12.5
New Zealand Sticklebract,13.6
New Zealand Super Alpha,11
New Zealand Wai-iti,3.4
New Zealand Waimea,17.5
New Zealand Wakatu,7.5
New Zealand Hallertau,7.5
Newport,15
Northern Brewer,9
Nugget,13.3
Olympic,12
Palisade,7.5
Perle,8.2
Polish Lublin,3.8
Saaz,3.8
Santiam,6
Satus,13.2
Simcoe,13
Sorachi Ace,13
Sterling,7.5
Styrian Aurora,8.2
Styrian Bobek,5.2
Styrian Celeia,4.5
Styrian Golding,5.3
Styrian Savinjski Golding,4.2
Summit,17.5
Sun,14
Tahoma,7.7
Tettnanger,4.5
Tomahawk,16
UK Admiral,14.5
UK Boadicea,8.5
UK Bramling Cross,7
UK Bullion,7.8
UK Challenger,8
UK East Kent Golding,5
UK First Gold,7.8
UK Fuggle,4.5
UK Northdown,8.5
UK Phoenix,10
UK Pilgrim,11
UK Pioneer,9.2
UK Progress,6.7
UK Sovereign,5.5
UK Target,11
UK WGV,6.2
Ultra,2.8
Vanguard,5.5
Warrior,16
Willamette,5
Yakima Cluster,7.2
Zeus,15
Spalt Select,4
German Hallertauer Tradition,4.2
UK Herald,12
Northwest Golding,4.5
UK Kent Golding,4.7
Argentina Cascade,4
Polish Marynka,10.5
German Smaragd,5
